tab 	specimens
analysts	citations	dir_bfv_dec	dir_bfv_inc	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	geologic_classes	geologic_types	instrument_codes	int_corr	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
	This study			Y213_chrm	1.1	327.4	71.1	0.6	1	13	0	Y213-3a_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-04-22 16:09:55	u	Rhyolite	0.08	0.005	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	Y213-3	pmagpy-4.2.108: demag_gui	Y213-3a
	This study			Y213_chrm	2	327	68.6	1.2	1	11	0	Y213-4a_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-04-06 14:49:16	u	Rhyolite	0.08	0.01	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	Y213-4	pmagpy-4.2.108: demag_gui	Y213-4a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y213-4		Y213-4a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y213-5		Y213-5a
	This study			Y213_chrm	0	346.2	68.6	0.2	1	15	0	Y213-5a_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-04-19 16:34:40	u	Rhyolite	0.08	0	T	LP-DIR-AF:DE-BFL-A:DA-DIR-GEO	g	Y213-5	pmagpy-4.2.108: demag_gui	Y213-5a
	This study			Y213_chrm	0.7	337.7	70.8	2.1	1	14	0	Y213-6a_LP-DIR-T	Igneous:Extrusive	Lava Flow	lancaste 2022-05-18 09:04:49	u	Rhyolite	853	393	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	Y213-6	pmagpy-4.2.108: demag_gui	Y213-6a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y213-6		Y213-6a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y213-6		Y213-6b
	This study			Y213_chrm	5.3	282.8	56.2	1.5	1	8	0	Y213-7a_LP-DIR-T	Igneous:Extrusive	Lava Flow	lancaste 2022-05-18 08:56:05	u	Rhyolite	853	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	b	Y213-7	pmagpy-4.2.108: demag_gui	Y213-7a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y213-7		Y213-7a
	This study			Y213_chrm	1.2	299.3	58.1	0.5	1	15	0	Y213-7b_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-03-23 16:00:02	u	Rhyolite	0.08	0	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	Y213-7	pmagpy-4.2.108: demag_gui	Y213-7b
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y213-7		Y213-7b
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y213-8		Y213-8a
	This study			Y213_chrm	0.3	340.9	73.1	2.2	1	9	0	Y213-8a_LP-DIR-T	Igneous:Extrusive	Lava Flow	lancaste 2022-05-18 09:06:54	u	Rhyolite	853	623	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	Y213-8	pmagpy-4.2.108: demag_gui	Y213-8a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y213-8		Y213-8b
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y213-9		Y213-9a
	This study			Y213_chrm	3	327.9	78.9	1.8	1	9	0	Y213-9a_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-04-21 17:43:48	u	Rhyolite	0.08	0.0125	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	Y213-9	pmagpy-4.2.108: demag_gui	Y213-9a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y214-10		Y214-10a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y214-10		Y214-10b
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y214-11		Y214-11a
	This study			Y214_chrm	0.7	301.3	64.2	1.6	1	6	0	Y214-11a_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-03-23 20:38:33	u	Rhyolite	0.08	0.03	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	Y214-11	pmagpy-4.2.108: demag_gui	Y214-11a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y214-11		Y214-11b
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y214-12		Y214-12a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y214-1		Y214-1a
	This study			Y214_chrm	0.7	344.8	60.7	0.4	1	14	0	Y214-1a_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-04-20 11:09:21	u	Rhyolite	0.08	0	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	Y214-1	pmagpy-4.2.108: demag_gui	Y214-1a
	This study			Y214_chrm	0	344.8	63.2	0.4	1	14	0	Y214-2a_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-07-06 11:31:02	u	Rhyolite	0.08	0	T	LP-DIR-AF:DE-BFL-A:DA-DIR-GEO	g	Y214-2	pmagpy-4.2.108: demag_gui	Y214-2a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y214-2		Y214-2a
	This study			Y214_chrm	0	345.2	54.6	0.6	1	15	0	Y214-3a_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-04-05 14:53:50	u	Rhyolite	0.08	0	T	LP-DIR-AF:DE-BFL-A:DA-DIR-GEO	g	Y214-3	pmagpy-4.2.108: demag_gui	Y214-3a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y214-3		Y214-3a
	This study			Y214_chrm	0.9	344.3	62.4	0.4	1	11	0	Y214-4a_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-03-23 17:39:29	u	Rhyolite	0.08	0.01	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	Y214-4	pmagpy-4.2.108: demag_gui	Y214-4a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y214-4		Y214-4a
	This study			Y214_chrm	0	346.3	58.1	0.8	1	1	0	Y214-4b_LP-DIR-T	Igneous:Extrusive	Lava Flow	lancaste 2022-05-11 08:35:04	u	Rhyolite	813	473	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	Y214-4	pmagpy-4.2.108: demag_gui	Y214-4b
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y214-4		Y214-4b
	This study			Y214_chrm	0	350	64.5	0.6	1	9	0	Y214-5a_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-03-23 18:14:05	u	Rhyolite	0.08	0.015	T	LP-DIR-AF:DE-BFL-A:DA-DIR-GEO	g	Y214-5	pmagpy-4.2.108: demag_gui	Y214-5a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y214-5		Y214-5a
	This study			Y214_chrm	0.1	351.8	63.7	1.3	1	8	0	Y214-5b_LP-DIR-T	Igneous:Extrusive	Lava Flow	lancaste 2022-05-05 11:40:04	u	Rhyolite	773	473	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	Y214-5	pmagpy-4.2.108: demag_gui	Y214-5b
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y214-5		Y214-5b
	This study			Y214_chrm	1.6	342.9	55.1	0.9	1	6	0	Y214-6a_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-07-06 12:03:14	u	Rhyolite	0.08	0.025	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	Y214-6	pmagpy-4.2.108: demag_gui	Y214-6a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y214-6		Y214-6a
	This study			Y214_chrm	0.2	336.2	51.4	0.6	1	11	0	Y214-7a_LP-DIR-AF	Igneous:Extrusive	Lava Flow	lancaste 2022-04-05 15:28:01	u	Rhyolite	0.08	0.01	T	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g	Y214-7	pmagpy-4.2.108: demag_gui	Y214-7a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y214-7		Y214-7a
	This study			Y214_chrm	0.6	321.8	59.2	0.9	1	6	0	Y214-8a_LP-DIR-T	Igneous:Extrusive	Lava Flow	lancaste 2022-07-21 08:50:28	u	Rhyolite	803	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	Y214-8	pmagpy-4.2.108: demag_gui	Y214-8a
AFP	This study												Igneous:Extrusive	Lava Flow			Rhyolite				LP-NOMAG	g	Y214-8		Y214-8a
